sentence,target,gold_05,gold_01
"Kim: I have completed the invoices for April, May and June and we owe Pasadena each month for a total of $3,615,910.62. I am waiting to hear back from Patti on May and June to make sure they are okay with her.",total,sum total;figure;amount;price;cost;balance;sum;gross,quantum;whole;sum total;figure;amount;price;aggregate;number;full amount;bill;cost;balance;sum;gross
"Nepthys turned to me. “Well, kid, what do you think? Remember, this is your quest.",think,presume;conclude;speculate;suppose;suspect;have in mind;reckon,estimate;feel;determine;appraise;anticipate;presume;sort out;reflect;expect;conclude;fancy;ponder;contemplate;surmise;consider;gather;imagine;assume;discern;suggest;reason;conceive;see;stop to consider;speculate;suppose;stew;guess;intellectualize;project;suspect;understand;envision;have in mind;sense;reckon;foresee;deem;want;believe;use ones head
"He turned to me. Nepthys nodded: “It’s okay, you can trust him. That’s why we came here.”",okay,alright;all right;ok;fine,swell;alright;adequate;tolerable;convenient;good;satisfactory;all right;ok;fine;fair;approved;acceptable;passable;correct
"“Listen, man, he’s not there! I’m telling you, it’s not even worth checking the bar!” I turned to keep going, but he caught my arm again.",checking,search;investigate;try;explore,search;examine;study;inspect;enquire about;ascertain;scout out;go through;monitor;verify;investigate;look over;circumvent;look at;count;audit;analyze;confirm;eyeball;scrutinize;halt;look see;try;explore
"…I thought as much. Now leave, before I call the rats on you.” We left.",call,sic;rally;set;summon;send;order;get,ring up;sic;arrange meeting;roar;attempt to communicate by telephone;exclaim;put;drop in;convene;rally;telephone;holler;gather;place;appoint;announce;awaken;solicit;invite;waken;shout;howl;declare;set;summon;send;ask;order;bid;assemble;yell declaration;request;get;muster;bring;hail;command;proclaim
"I stepped up behind him and raised my hands, which almost seemed to be glowing. Then the stake came down into his back and one, two, three strikes with the hammer drove it in. The vampire fell forward and blood began to flow from his mouth.",drove,force;hammer;slam;push;ram;press;beat;wham;knock;plunge;nail,make;force;get;pound;guide;hammer;slam;bear down;push;instigate;spur;butt;send;ram;travel;burn up the road;direct;propel;thrust;steer;press;shove;advance;sink;whack;beat;wham;punch;knock;dig;shoot;plunge;nail;stick;smite;moving
"""I was stopped in San Francisco one time by a Japanese tour bus. I swear. They all thought I was Steve Martin.",swear,swear by;swear up and down;vow;declare;promise;declare under oath;testify;guarantee;give ones word;cross ones heart;swear to god,confess;give witness;have confidence in;speak profanely;vouch;swear by;swear up and down;take an oath;vow;say so;declare;pledge;promise;declare under oath;testify;state under oath;guarantee;attest;give ones word;cross ones heart;swear to god
"Come on, let’s go.” As we left the bar, I asked to see the rock. “Why?”",asked,question;request;inquire,suggest;cross-examine;question;want;appeal;crave;needle;implore;beseech;query;solicit;request;call upon;interrogate;seek;command;angle;demand;supplicate;inquire;petition;claim
"I thought I heard Rachel’s voice blearily calling for me. Then one set of footsteps began walking toward the altar. I was content to let myself drift away, and I had almost forgotten the body lying with broken neck on the cathedral’s hard tiles when I felt a warm touch on its cheek.",set,group;batch;pair,presence;stage setting;collection;group;series;bundle;batch;cluster;array;lot;kit;pair
"Inside, the building opened up. The ceiling was high and wooden, and I could see part of a DJ’s booth down the hall. It looked like we were in the back of a nightclub.",booth,stand;section;room;setup,stall;cubicle;counter;pen;nook;small enclosure or building;hutch;compartment;hut;stand;section;room;box;setup
"Under Mr. Gorbachev, Mr. Goode said, the Soviets are openly stealing Western corporate communications. He cited the case of a Swiss oil trader who recently put out bids via telex for an oil tanker to pick up a cargo of crude in the Middle East. Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid.",case,story;event;scenario;situation;instance;occurrence;example case,action;example;state;story;proof;position;dispute;holder;coffer;suit;event;matter;circumstance;carton;proceedings;illustration;plight;drawer;lawsuit;cause;suitcase;argument;context;evidence;scenario;claim;situation;matter brought before a court;dilemma;instance;occurrence;sample;fact;crisis;conditions;example case;process;status;specimen;history
