sentence,target,gold,ls_concat
"Kim: I have completed the invoices for April, May and June and we owe Pasadena each month for a total of $3,615,910.62. I am waiting to hear back from Patti on May and June to make sure they are okay with her.",total,all;entirety;quantum;whole;sum total;bulk;figure;amount;flat out;final;price;aggregate;number;body;jackpot;full amount;bill;tale;cost;balance;totality;sum;worth;result;allotment;quantity;budget;mass;the works;gross,maximum;minimum
"Nepthys turned to me. “Well, kid, what do you think? Remember, this is your quest.",think,estimate;feel;determine;appraise;anticipate;resolve;presume;regard;realize;reminisce;study;sort out;reflect;hold;weigh;expect;meditate;take;image;conclude;fancy;recall;visualize;deduce;comprehend;ponder;contemplate;take under consideration;appreciate;analyze;muse;vision;surmise;rationalize;consider;be convinced;gather;imagine;assume;discern;suggest;reason;conceive;judge;evaluate;see;plan for;stop to consider;ideate;speculate;examine;suppose;esteem;stew;guess;intellectualize;project;suspect;figure out;revolve;understand;ruminate;deliberate;turn over;envision;have in mind;sense;credit;envisage;mull over;reckon;foresee;deem;brood;cogitate;infer;feature;logicalize;mull;factor;recollect;want;cerebrate;believe;rack ones brains;remember call to;use ones head;mind,say;mean;feel;like;know
"He turned to me. Nepthys nodded: “It’s okay, you can trust him. That’s why we came here.”",okay,swell;alright;adequate;tolerable;convenient;good;middling;satisfactory;all right;accurate;ok;in order;fine;fit;not bad;permitted;surely;so-so;fair;approved;acceptable;passable;correct,alright;ok
"“Listen, man, he’s not there! I’m telling you, it’s not even worth checking the bar!” I turned to keep going, but he caught my arm again.",checking,withhold;overlook;frustrate;hold down;candle;note;hold back;hold in;arrest;search;suppress;snub;examine;retard;make sure;curb;play for time;repress;find out;stop;rein in;study;counteract;scour;scan;preclude;delay;inspect;enquire about;ascertain;scout out;review;checkmate;frisk;go through;slacken pace;squelch;take stock;obstruct;bridle;hold;compare;obviate;monitor;terminate;slow down;impede;pause;probe;keep back;verify;investigate;look over;repulse;circumvent;nip in the bud;look at;control;correct;restrain;interrupt;count;balance account;cut short;tame;limit;bit;audit;case;analyze;hinder;test;moderate;thwart;stay;confirm;constrain;eyeball;scrutinize;halt;reduce;prevent;look see;keep account;rebuff;bar;harness;discourage;quiz;try;bottleneck;explore;tell;prove;choke;neutralize;inhibit;foil;baffle,calling;searching;crossing;testing;reading
"…I thought as much. Now leave, before I call the rats on you.” We left.",call,bawl;scream;style;predict;foretell;baptize;rouse;yowl;ring up;prophesy;portend;sic;arrange meeting;dub;judge;whoop;vociferate;fall down;christen;roar;attempt to communicate by telephone;exclaim;adumbrate;put;set apart;label;drop in;convene;rally;make rough guess;telephone;look up;holler;elect;address;blast;stop in;forecast;fall by;drop by;term;designate;crash;pop in;name;gather;beep;bleep;place;appoint;see;claim;phone;vaticinate;announce;cry out;awaken;solicit;invite;waken;estimate;shout;howl;declare;presage;set;come over;summon;require;arouse;title;play;collect;send;entreat;exact;guess;requisition;think;hoot;screech;entitle;ask;swing by;augur;ordain;regard;order;alert;ring;bellow;postulate;charge;bid;cry;assemble;hit;yell declaration;look in on;prognosticate;subpoena;denominate;run in;challenge;request;describe as;decree;stop by;contact;get back to;approximate;buzz;get;pray to;muster;bring;hail;shriek;command;proclaim;convoke;reckon;consider;yawp;yoo hoo;by;to;visit at residence or business come;demand or announce action appeal,summon;bring;phone
"I stepped up behind him and raised my hands, which almost seemed to be glowing. Then the stake came down into his back and one, two, three strikes with the hammer drove it in. The vampire fell forward and blood began to flow from his mouth.",drove,make;pour it on;force;make sparks fly;get;hit with heavy blow;operate;kick;herd;pound;egg on;tool;move or urge on;overwork;overburden;coerce;work on;coast;guide;actuate;put up to;hammer;turn;oblige;slam;bear down;cruise;impel;compel;burn rubber;motivate;act upon;push;rouse;animate;start;strike;step on the gas;prod;bulldoze;stimulate;rush;manage;instigate;spur;shepherd;hurry;butt;motor;send;prompt;cycle;ram;nag;dog;worry;pop;throw;inspire;hasten;hound;provoke;travel;burn up the road;batter;direct;mobilize;hustle;handle;transport;propel;twack;run;thrust;hurl;harass;steer;induce;press;shove;chisel;ride;advance;jackhammer;sink;whack;encourage;wheel;floor it;beat;pressure;wham;fire up;step on it;railroad;constrain;goose;vehiculate;spirit up;goad;punch;knock;dig;dash;ride herd on;sock;shoot;plunge;lean on it;thump;lean on;steamroll;drag;bike;speed;nail;tailgate;spin;bicycle;chase;fly;maul;arouse;stab;roll;stick;smite;moving;controlling a vehicle,pushed;plunged;dug;brought;hammered;forced;kicked
"""I was stopped in San Francisco one time by a Japanese tour bus. I swear. They all thought I was Steve Martin.",swear,make an affidavit;depose;affirm;flame;confess;be vulgar;give witness;have confidence in;speak profanely;vouch;state;maintain;swear by;swear up and down;plight;avow;take an oath;assert;vow;say so;declare;bedamn;pledge;promise;declare under oath;utter profanity;testify;state under oath;rely on;talk dirty;curse;blaspheme;execrate;warrant;be foul-mouthed;take name in vain;guarantee;insist;attest;imprecate;pledge oneself;trust;depend on;covenant;use bad language;give ones word;cuss;cross ones heart;swear to god,promise;mean;believe;know;say;live;think
"Come on, let’s go.” As we left the bar, I asked to see the rock. “Why?”",asked,sue;bum;suggest;bite;contend for;cross-examine;pray;requisition;question;want;put the screws to;file for;call for;bid;appeal;crave;charge;promote;give the third degree;touch;pop the question;order;hustle;levy;needle;implore;beseech;query;solicit;sweat;hit;request;call upon;interrogate;summon;mooch;beg;hunt for;put through the wringer;buzz;grill;canvass;go over;seek;command;angle;demand;propose;direct;investigate;challenge;pump;examine;apply;catechize;supplicate;plead;urge;knock;quiz;inquire;roast;entreat;petition;invite;impose;pry into;institute;enjoin;claim;pick ones brains,requested;wondered;questioned;inquired;wanted;said;begged;sought
"I thought I heard Rachel’s voice blearily calling for me. Then one set of footsteps began walking toward the altar. I was content to let myself drift away, and I had almost forgotten the body lying with broken neck on the cathedral’s hard tiles when I felt a warm touch on its cheek.",set,posture;presence;compendium;comportment;organization;fit;stage setting;clan;bunch;physical bearing;collection;camp;scenery;mob;setting;outfit;group;mien;company;deportment;push;clutch;mise en scène;pack;coterie;band;crowd;demeanor;stage set;crew;sect;assortment;series;hang;bundle;carriage;gang;clique;batch;cluster;array;assemblage;lot;faction;attitude;gaggle;air;rat pack;kit;port;inclination;pair;circle;clump;body;scene;turn;address;flats;class;position,pair;group;couple;round;run;team
"Inside, the building opened up. The ceiling was high and wooden, and I could see part of a DJ’s booth down the hall. It looked like we were in the back of a nightclub.",booth,shed;berth;corner;cote;equipment;stall;coop;cubicle;cubbyhole;carrel;counter;dispensary;repository;pen;nook;small enclosure or building;hutch;compartment;hut;stand;section;room;pew;box;setup,table;office;stool;cabinet;podium
