target_sentence,postcontext,substitutions,replace,replace_proc
A mission to end a war,"AUSTIN, Texas -- Tom Karnes was dialing for destiny, but not everyone wanted to cooperate.","{'mission': 'calling;campaign;dedication;devotion;duty;effort;goal;initiative;intention;movement;plan;pursuit;quest;step;task', 'end': 'abolish;cease;conclude;finish;halt;stop;terminate', 'war': 'battle;combat;conflict;crusade;fight;struggle'}","{'mission': 'message;purpose;goal;role;mandate;plan;job;moment;journey;quest;duty;story;vision;way;team', 'end': 'stop;close;finish;win;terminate;exit;change', 'war': 'conflict;battle;world;campaign;fight;hate'}","{'mission': 'message;purpose;goal;role;mandate;plan;job;moment;journey;quest;duty;story;vision;way;team', 'end': 'stop;close;finish;win;terminate;exit;change', 'war': 'conflict;battle;world;campaign;fight;hate'}"
"A.L. Williams Corp. was merged into Primerica Corp., New York, after a special meeting of Williams shareholders cleared the transaction, the companies said.","Primerica, which had owned nearly 70% of Williams, will pay about 16.7 million shares, currently valued at almost $472 million, for the rest of Williams.","{'merged': 'absorb;assimilate;combine;join;take;tie', 'special': 'exclusive;important;particular;specific;unscheduled', 'meeting': 'assemblage;assembly;conference;convention;gathering;reunion', 'shareholders': 'backer;holder;investor;owner;shareowners;stock owner;stockholder', 'cleared': 'approve;assent to;authorize;diminish;okay;pass', 'transaction': 'affair;deal;negotiation;proceeding;proposal;sale;venture', 'companies': 'business;concern;corporation;firm;group;organization;party', 'said': 'announce;cite;note;remark;state'}","{'merged': 'merger;integrated;consolidated;combined;blended;absorbed', 'special': 'regular;rare;general;quarterly;separate', 'meeting': 'gathering;session;discussion;presentation;assembly;conference', 'shareholders': 'investors;holders;stakeholders;directors;voters;officers;delegates', 'cleared': 'certified;authorized;rejected;confirmed;allowed;blocked', 'transaction': 'deal;acquisition;merger;purchase;sale;move;transfer', 'companies': 'firms;parties;organizations;businesses;sides;cities;corporations', 'said': 'announced;revealed;confirmed;reported;Friday'}","{'merged': 'merger;integrated;consolidated;combined;blended;absorbed', 'special': 'regular;rare;general;quarterly;separate', 'meeting': 'gathering;session;discussion;presentation;assembly;conference', 'shareholders': 'investor;holder;stakeholder;director;voter;officer;delegate', 'cleared': 'certified;authorized;rejected;confirmed;allowed;blocked', 'transaction': 'deal;acquisition;merger;purchase;sale;move;transfer', 'companies': 'firm;party;organization;business;side;city;corporation', 'said': 'announced;revealed;confirmed;reported;friday'}"
ANGELS MAKE TRADE TO GET OUTFIELD DEPTH,"ANAHEIM, Calif. -- The Anaheim Angels got help where they felt they needed it most, agreeing to trade for Milwaukee Brewers outfielder Alex Ochoa only hours before Wednesday's nonwaiver trading deadline.","{'MAKE': 'accept;arrange;carry out;conduct;do;execute;forge;generate;initiate;perform;settle;spawn', 'TRADE': 'a way;barter;deal;exchange;player trade;procurement;swap;transaction', 'GET': 'achieve;acquire;add;attain;bolster;capture;find;gain;glean;land;obtain;receive'}","{'MAKE': 'make;DO;ADD;MARK;ON;HAVE;SEE;PAY;PLAY;NEED;PRESS;SHOW', 'TRADE': 'ADE;TR;TRA;SPACE;MAKE;TAM;REPORT;TRANS', 'GET': 'GOT;get;SEE;GO;WANT;OK;NEED;HAVE;PLAY;SET;SEC;G'}","{'MAKE': 'make;do;add;mark;on;have;see;pay;play;need;press;show', 'TRADE': 'ade;tr;tra;space;make;tam;report;trans', 'GET': 'got;get;see;go;want;ok;need;have;play;set;sec;g'}"
"CHRON EDITORS NOTE: Each week, The Chronicle offers readers a look at the more unusual fruits, vegetables and herbs of each season and how to use them.",THE PRODUCE BIN: Bitter melon,"{'NOTE': 'addendum;addition;comment;input;message;notice;post script;review', 'week': 'period', 'offers': 'bring;deliver;furnish;give;provide;show;supply', 'readers': 'audience;fan;follower;subscriber;viewer', 'look': 'gander;glance;glimpse;overview;peak;peek;view', 'more': 'comparatively more;distinctively;exceptionally;great;most;rather;somewhat;truly;very', 'unusual': 'amazing;awesome;exotic;odd;rare;special;strange;uncommon;unique', 'fruits': 'crop;food;fruit specimen;plant;produce', 'vegetables': 'herbage;plant;produce;vegetable specimen;veggies', 'herbs': 'botanical;herbal specimen;plant;spice', 'season': 'calendar season;grow season;period;quarter;term;time;year', 'use': 'cook;eat;employ;fix;incorporate;make use of;prepare;serve;utilize'}","{'NOTE': 'NOTICE;EDIT;note;WARNING;REPORT;Notes;UPDATE;DAY', 'week': 'Thursday', 'offers': 'gives;allows;provides;invites;shows;extends;brings', 'readers': 'subscribers;ers;residents;customers;riders', 'look': 'peek;glance;glimpse;laugh;view;stare;stab', 'more': 'different;rather;many;less;really;truly;bigger;better;differently', 'unusual': 'unconventional;unexpected;unique;bizarre;peculiar;extraordinary;outlandish;exotic;surprising', 'fruits': 'ruits;foods;crops;products;types', 'vegetables': 'veggies;greens;animals;seeds;spices', 'herbs': 'spices;flowers;plants;oils', 'season': 'year;region;summer;harvest;month;seasonal;winter', 'use': 'handle;apply;utilize;try;enjoy;serve;employ;save;make'}","{'NOTE': 'notice;edit;note;warning;report;note;update;day', 'week': 'thursday', 'offers': 'give;allows;provides;invite;show;extends;brings', 'readers': 'subscriber;er;resident;customer;rider', 'look': 'peek;glance;glimpse;laugh;view;stare;stab', 'more': 'different;rather;many;le;really;truly;bigger;better;differently', 'unusual': 'unconventional;unexpected;unique;bizarre;peculiar;extraordinary;outlandish;exotic;surprising', 'fruits': 'ruits;food;crop;product;type', 'vegetables': 'veggie;green;animal;seed;spice', 'herbs': 'spice;flower;plant;oil', 'season': 'year;region;summer;harvest;month;seasonal;winter', 'use': 'handle;apply;utilize;try;enjoy;serve;employ;save;make'}"
"Coleco Industries Inc., a once high-flying toy maker whose stock peaked at $65 a share in the early 1980s, filed a Chapter 11 reorganization plan that provides just 1.125 cents a share for common stockholders.","Under the plan, unsecured creditors, who are owed about $430 million, would receive about $92 million, or 21 cents for each dollar they are owed.","{'once': 'before;formerly;in the past;old;one time;past;previously', 'high': 'independently', 'flying': 'earn;roll;soar', 'toy': 'gadget;game;kid product;object;product;trinket', 'maker': 'company;creator;manufacturer;owner;producer', 'stock': 'share;stockholder', 'peaked': 'culminate;end;hit high;plateaue;reach;reach a high;soar', 'share': 'stock;stockholder;trade', 'early': 'begin;past', 'filed': 'claim;give;register;serve;submit', 'Chapter': 'notice;section', 'reorganization': 'changing;organization;regroup;rehabilitation;restructuring;restucturing', 'plan': 'blueprint;idea;procedure;program;proposal;scheme;strategy;thought', 'provides': 'allow;bring;earn;give;have;render;supply;yield', 'just': 'merely;only;simply', 'cents': 'pence;penny', 'common': 'all;general;group;normal;ordinary;regular;standard', 'stockholders': 'holder;owner;share owner;shareholder'}","{'once': 'formerly;former;briefly;typically;suddenly;nearly;famously', 'high': 'hot', 'flying': 'tech;priced;rising', 'toy': 'doll;gadget;candy;tool;car;Barbie', 'maker': 'manufacturer;company;producer;make;builder', 'stock': 'share;price', 'peaked': 'topped;capped;soared;surged;stalled;spiked;reached', 'share': 'stock;year;day', 'early': 'mid;upper', 'filed': 'submitted;slapped;published;registered;posted', 'Chapter': 'chapter;Section', 'reorganization': 'restructuring;reorgan;overhaul;merger;ization;bankruptcy', 'plan': 'proposal;package;program;document;scheme;blueprint;Monday;strategy', 'provides': 'includes;guarantees;requires;creates;pays;gives;renders;delivers', 'just': 'exactly;merely;simply', 'cents': 'euros;dollars', 'common': 'regular;public;company;ordinary;general;basic;stock', 'stockholders': 'shareholders;stock;stocks;shares'}","{'once': 'formerly;former;briefly;typically;suddenly;nearly;famously', 'high': 'hot', 'flying': 'tech;priced;rising', 'toy': 'doll;gadget;candy;tool;car;barbie', 'maker': 'manufacturer;company;producer;make;builder', 'stock': 'share;price', 'peaked': 'topped;capped;soared;surged;stalled;spiked;reached', 'share': 'stock;year;day', 'early': 'mid;upper', 'filed': 'submitted;slapped;published;registered;posted', 'Chapter': 'chapter;section', 'reorganization': 'restructuring;reorgan;overhaul;merger;ization;bankruptcy', 'plan': 'proposal;package;program;document;scheme;blueprint;monday;strategy', 'provides': 'includes;guarantee;requires;creates;pay;give;render;delivers', 'just': 'exactly;merely;simply', 'cents': 'euro;dollar', 'common': 'regular;public;company;ordinary;general;basic;stock', 'stockholders': 'shareholder;stock;stock;share'}"
"Elco Industries Inc. said it expects net income in the year ending June 30, 1990, to fall below a recent analysts estimate of $1.65 a share.","The Rockford, Ill., maker of fasteners also said it expects to post sales in the current fiscal year that are ""slightly above"" fiscal 1989 sales of $155 million.","{'said': 'announce;assert;cite;note;remark;state', 'expects': 'anticipate;forecast;predict;think', 'net': 'after tax;bottom line;clear;final;pre tax;profit;remain;take home;total;undeductible', 'income': 'earning;gain;gross;profit;revenue', 'year': 'annual;annum;period;season;term', 'ending': 'close;conclude;finalize;finish;terminate', 'fall': 'decrease;drop;go', 'recent': 'current;late;new', 'analyst': 'critic;expert;researcher;studier', 'estimate': 'approximation;average;calculation;forecast;prediction', 'share': 'piece;stock;trade'}","{'said': 'Friday;reported;called;announced;confirmed;added', 'expects': 'forecasts;expectations;estimates;wants', 'net': 'total;quarterly;operating;real;profit;non;final;combined;financial;per', 'income': 'profit;loss;earnings;revenue;sales', 'year': 'week;quarter;yr;month;annual', 'ending': 'closing;following;coming;starting;preceding', 'fall': 'drop;fell;come', 'recent': 'recently;current;previous', 'analyst': '', 'estimate': 'forecast;consensus;expectation;view;estimation', 'share': 'stock;year;part'}","{'said': 'friday;reported;called;announced;confirmed;added', 'expects': 'forecast;expectation;estimate;want', 'net': 'total;quarterly;operating;real;profit;non;final;combined;financial;per', 'income': 'profit;loss;earnings;revenue;sale', 'year': 'week;quarter;yr;month;annual', 'ending': 'closing;following;coming;starting;preceding', 'fall': 'drop;fell;come', 'recent': 'recently;current;previous', 'analyst': '', 'estimate': 'forecast;consensus;expectation;view;estimation', 'share': 'stock;year;part'}"
Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage.,That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage.,"{'Electronic': 'anodic;computer;computerized;technology;voltaic', 'theft': 'appropriation;burglary;espionage;filch;pilfer;piracy;shoplift;steal;thievery', 'foreign': 'alien;estrange;exotic;immigrant;remote;strange', 'industrial': 'business;economic;industrialized;manufacturing;mechanized;trade', 'spies': 'agent;double;espionage;mole;plant;sleuth;undercover', 'disgruntled': 'angry;crabby;critical;disaffected;discontent;displease;dissatisfied;feed up;irate;irritated;resentful;unhappy;upset', 'employees': 'associate;jobholder;laborer;personnel;staff;subordinate;worker;workman', 'costing': 'bear;cause;damage;lose;squander', 'companies': 'business;corporation;employer;enterprize;firm;organization;store', 'billions': 'load;lot;ton', 'eroding': 'chip away at;corrode;crumble;damage;decrease;deteriorate;diminish;disrupt;impair;reduce;wear away;wear down;wither', 'international': 'global;intercontinental;national;overall;overseas;universal;world wide;worldly;worldwide', 'competitive': 'aggressive;ambitious;combative;contest;driven;economic;economical;good;reasonable;rival;unique', 'advantage': 'authority;bonus;command;dominance;edge;favor;lead;stance;superiority;upper hand'}","{'Electronic': 'Information;Technology;Cash;Job;Capital', 'theft': 'stealing;stolen;steal;stole;thief;fraud;thieves;robbery;lifting', 'foreign': 'international;external;overseas;multinational;western;abroad', 'industrial': 'domestic;national;internal;American;local;industry', 'spies': 'espionage;agents;informants;criminals;hackers;actors;thieves', 'disgruntled': 'rogue;unhappy;dissatisfied;hostile;alienated;former;fired;frustrated;impoverished;misguided;tainted;wealthy;terminated', 'employees': 'workers;staffers;staff;managers;personnel;associates;servants;hires', 'costing': 'losing;causing;saving;giving;stealing', 'companies': 'corporations;firms;businesses;manufacturers;industries;corporate;cities', 'billions': 'millions;trillions;thousands', 'eroding': 'oding;undermining;er;diminishing;erosion;degrading;fading;weakening;shrinking;decreasing;destroying;reducing;dwindling', 'international': 'global;internationally;foreign;worldwide;overseas;domestic;world;multinational;local', 'competitive': 'competitiveness;comparative;competition;technological;competing;competitor;strategic;technical;compete;market;distinct', 'advantage': 'edge;position;superiority;strength;interest;dominance;preference;gain;benefit;influence'}","{'Electronic': 'information;technology;cash;job;capital', 'theft': 'stealing;stolen;steal;stole;thief;fraud;thief;robbery;lifting', 'foreign': 'international;external;overseas;multinational;western;abroad', 'industrial': 'domestic;national;internal;american;local;industry', 'spies': 'espionage;agent;informant;criminal;hacker;actor;thief', 'disgruntled': 'rogue;unhappy;dissatisfied;hostile;alienated;former;fired;frustrated;impoverished;misguided;tainted;wealthy;terminated', 'employees': 'worker;staffer;staff;manager;personnel;associate;servant;hire', 'costing': 'losing;causing;saving;giving;stealing', 'companies': 'corporation;firm;business;manufacturer;industry;corporate;city', 'billions': 'million;trillion;thousand', 'eroding': 'oding;undermining;er;diminishing;erosion;degrading;fading;weakening;shrinking;decreasing;destroying;reducing;dwindling', 'international': 'global;internationally;foreign;worldwide;overseas;domestic;world;multinational;local', 'competitive': 'competitiveness;comparative;competition;technological;competing;competitor;strategic;technical;compete;market;distinct', 'advantage': 'edge;position;superiority;strength;interest;dominance;preference;gain;benefit;influence'}"
FALL BALLOT ISSUES set a record for off-year elections.,Odd-year elections attract relatively few ballot issues.,"{'FALL': 'November;October;September;autumn', 'BALLOT': 'appoint;election;franchise;nominate;poll;referendum;tally;vote;voting', 'ISSUES': 'argument;concern;controversy;debate;difficulty;dilemma;obstacle;problem;question;subject;topic', 'set': 'conclude;conclude in;confirm;determine;fix;lock;make;obstinate;result in;root;settle', 'record': 'benchmark;ceiling;high;mark;maximum;new goal', 'year': 'annual;season;term', 'elections': 'ballot;race;vote;voting'}","{'FALL': 'ALL;Fall;BALL;THE', 'BALLOT': 'ballot;PIN;POP;BALL;DOT;MOT;OT;ELECT;ATM', 'ISSUES': 'EVENTS;ACTIONS;SERVICES;IDs;IS;ISPs;investigations;Events;indices;indicators;elections', 'set': 'reset;cut;beat;mark;hit;break;hold;establish;put;broke;record', 'record': 'precedent;high;tradition;mark;pattern;history', 'year': 'yearly;side;season', 'elections': 'polls;races;campaigns;voters'}","{'FALL': 'all;fall;ball;the', 'BALLOT': 'ballot;pin;pop;ball;dot;mot;ot;elect;atm', 'ISSUES': 'event;action;service;id;is;isps;investigation;event;index;indicator;election', 'set': 'reset;cut;beat;mark;hit;break;hold;establish;put;broke;record', 'record': 'precedent;high;tradition;mark;pattern;history', 'year': 'yearly;side;season', 'elections': 'poll;race;campaign;voter'}"
First of America Bank Corp. said it completed its acquisition of Midwest Financial Group Inc. for about $250 million.,"First of America, which now has 45 banks and $12.5 billion in assets, announced an agreement to acquire the Peoria, Ill., bank holding company in January.","{'said': 'announce;cite;declare;imply;note;say;state', 'completed': 'complete;end;finalize;finish;own', 'acquisition': 'acquire;assimilation;buy;gain;hold;ownership;procurement;secure;take over;transferral'}","{'said': 'announced;confirmed;Friday;reported;today;claimed;called', 'completed': 'finalized;closed;concluded;finished;terminated', 'acquisition': 'purchase;acquire;acquired;takeover;acquiring;pursuit;absorption;addition;purchasing;buy'}","{'said': 'announced;confirmed;friday;reported;today;claimed;called', 'completed': 'finalized;closed;concluded;finished;terminated', 'acquisition': 'purchase;acquire;acquired;takeover;acquiring;pursuit;absorption;addition;purchasing;buy'}"
GOODY PRODUCTS Inc. cut its quarterly dividend to five cents a share from 11.5 cents a share.,The reduced dividend is payable Jan. 2 to stock of record Dec. 15.,"{'cut': 'decrease;divide;lower;pare;reduce;slash;split;trim', 'quarterly': '3 month;four month;periodic;quarter period;seasonal;semester', 'dividend': 'compensation;disbursement;earning;payment;profit;return;share profit;yield', 'cents': 'penny', 'share': 'market share;part;piece;portion;stock;trading unit'}","{'cut': 'slashed;reduced;reduce;trimmed;slash;lowered;dropped;drop', 'quarterly': 'annual;recent;monthly;outstanding;quarter;subsequent', 'dividend': 'distribution;payout;forecast;quarter;proposal;royalty;payment;price', 'cents': 'dollars', 'share': 'stock;year;day;cent;part;quarter'}","{'cut': 'slashed;reduced;reduce;trimmed;slash;lowered;dropped;drop', 'quarterly': 'annual;recent;monthly;outstanding;quarter;subsequent', 'dividend': 'distribution;payout;forecast;quarter;proposal;royalty;payment;price', 'cents': 'dollar', 'share': 'stock;year;day;cent;part;quarter'}"
Grande dame of cooking still going strong at 90: Julia Child celebrates in San Francisco,"How does it feel to turn 90 and have attained the status of an icon, a living legend?","{'dame': 'diva;lady;mistress;mother;woman', 'cooking': 'cook;cuisine;food;food preparation;kitchen;the kitchen', 'still': 'again;all the same;be;calmly;continually;continuously;even so;however;likewise;moreover;nevertheless;quietly;yet', 'going': 'cook;function;live;move;operate;progress;run;stay;work', 'strong': 'active;adeptly;boldly;effortlessly;full steam;good;great;robustly;tough;well', 'celebrates': 'dance;enjoy;observe joyfully;party;rejoice'}","{'dame': 'ame;Dame;e;lady;da', 'cooking': 'baking;cuisine;kitchen;eating;culinary;food', 'still': 'continues;also;remains;apparently;continuing;back;staying;remaining;continued', 'going': 'running;moving;riding;working;cooking;standing;heading;hanging;shooting', 'strong': 'strongly;well;sharp;tough;strength;hard;fresh;fast;long;hungry', 'celebrates': 'celebration;dies;honors;surprises;remembers'}","{'dame': 'ame;dame;e;lady;da', 'cooking': 'baking;cuisine;kitchen;eating;culinary;food', 'still': 'continues;also;remains;apparently;continuing;back;staying;remaining;continued', 'going': 'running;moving;riding;working;cooking;standing;heading;hanging;shooting', 'strong': 'strongly;well;sharp;tough;strength;hard;fresh;fast;long;hungry', 'celebrates': 'celebration;dy;honor;surprise;remembers'}"
