sentence,target,gold,ls_dropout
"During the siege , George Robertson had appointed Shuja-ul-Mulk , who was a bright boy only 12 years old and the youngest surviving son of Aman-ul-Mulk , as the ruler of Chitral .",bright,intelligent;clever;smart,young;brave;pretty;brilliant;sharp;handsome;smart;mere;bright;good
"The actual field is not much different than that of a 40mm , only it is smaller and quite a bit noticeably brighter , which is probably the main benefit .",brighter,luminous;well-lit;clear;light,bright;lighter;sharper;clearer;darker;thinner;smaller;warmer;thicker;narrower
"The roses have grown out of control , wild and carefree , their bright blooming faces turned to bathe in the early autumn sun .",bright,colourful;brilliant;gleam;luminous,white;gorgeous;sweet;early;lovely;newly;red;pink;yellow;delicate
He was bright and independent and proud .,bright,intelligent;clever,smart;young;bold;independent;friendly;kind;sharp;big;pretty;spoiled
"In fact , during at least six distinct periods in Army history since World War I , lack of trust and confidence in senior leaders caused the so-called best and brightest to leave the Army in droves .",brightest,intelligent;clever;most;capable;promising;sharp;motivated,worst;best;finest;greatest;mighty;daring;smartest;allies;heroes;true
"An evening of classical symphonic music , played by the next generation stars in the American orchestral scene , can be savored at the New World Symphony , a special Miami institution that nurtures the best and brightest young symphonic musicians .",brightest,talented;up-and-coming;gifted;promising;most;skilled,best;youngest;promising;latest;worst;new;newest;greatest;hottest;emerging
"There are sound reasons for concluding that the long-run picture remains bright , and even recent signals about the current course of the economy have turned from unremittingly negative through the late fall of last year to a far more mixed set of signals recently .",bright,positive;promising;good;optimisitc;hopeful,bleak;unclear;murky;uncertain;positive;weak;mixed;fragile;poor;gloomy
Snow covered areas appear bright blue in the image which was taken in early spring and shows deep snow cover .,bright,shining;deep;vivid;luminous;vibrant,pale;deep;light;solid;dark;quite;brighter;mostly;uniformly;brightly
"She turns eyes bright with excitement towards Fiona , still tugging on the string of the minitiature airship-cum-dance card she has just received at the door .",bright,shining;alight,wide;pink;ful;blinking;full;lit;sharp;shiny;widening;round
A short excerpt : I was praying in private until someone got the bright idea of starting a Presidential Prayer Team .,bright,smart;intelligent;brilliant;great;clever,good;big;first;fat;right;new;wrong;bad;proper;white
"So , unlike studio films , independent films cannot be conceptually geared to a marketing campaign , or used to recruit merchandising tie-ins .",films,movie;picture;production,film;movies;filmmakers;docs;features;productions;releases;deals;projects;credits
The packed screening of about 100 high-level press people loved the film as well .,film,movie;picture,movie;films;clip;documentary;story;material;screen;set;short;scene
I think most filmmakers for the most part right now they’re thinking about the DVD when they go in to production because the reality is DVD is where the great majority of your audience is going to experience the film .,film,movie;picture,movie;films;magic;feature;genre;cinema;movies;content;flick;first
Dune makes the second Lynch film to be released in a consumer HD format ( Mulholland Drive on D-VHS being the first ) .,film,movie;picture,movie;roll;version;release;film;DVD;disc;documentary;R;cut
"Film Music Literature Cyberplace - Includes film reviews , message boards , chat room , and images from various films .",film,movie;picture,",;films;director;ir;cinema;audio;video;movie;music;un"
His feature film debut HEROES / DE STÃRSTE HELTE ( 1996 ) won awards at Rouen and Madrid .,film,movie;picture,film;min;documentary;theatrical;horror;feature;drama;cinema;movie;web
"( Some people keep their TVs on for company. ) In Malta , news is the main reason we turn to TV , followed by films , talk shows , documentaries , serials , and music , in that order .",films,movie;picture,movies;documentaries;docs;news;CNN;sports;film;books;newspapers;magazines
