sentence,target,gold,ls_concat
"During the siege , George Robertson had appointed Shuja-ul-Mulk , who was a bright boy only 12 years old and the youngest surviving son of Aman-ul-Mulk , as the ruler of Chitral .",bright,intelligent;clever;smart,young;brilliant;smart;brave;bold;clever;lively;promising;beautiful;talented
"The actual field is not much different than that of a 40mm , only it is smaller and quite a bit noticeably brighter , which is probably the main benefit .",brighter,luminous;well-lit;clear;light,darker;clearer;sharper;stronger;warmer;nicer;hotter;better;lighter;wealthier
"The roses have grown out of control , wild and carefree , their bright blooming faces turned to bathe in the early autumn sun .",bright,colourful;brilliant;gleam;luminous,brightly;brilliant;shining;pale;vibrant;big;sweet;sharp;sparkling;light
He was bright and independent and proud .,bright,intelligent;clever,smart;brilliant;sharp;bold;shining;hot;brightly;loud;strong;shiny
"In fact , during at least six distinct periods in Army history since World War I , lack of trust and confidence in senior leaders caused the so-called best and brightest to leave the Army in droves .",brightest,intelligent;clever;most;capable;promising;sharp;motivated,strongest;smartest;worst;best;safest;hardest;finest;greatest;toughest;fastest
"An evening of classical symphonic music , played by the next generation stars in the American orchestral scene , can be savored at the New World Symphony , a special Miami institution that nurtures the best and brightest young symphonic musicians .",brightest,talented;up-and-coming;gifted;promising;most;skilled,smartest;hottest;strongest;best;biggest;youngest;finest;coolest;worst;latest
"There are sound reasons for concluding that the long-run picture remains bright , and even recent signals about the current course of the economy have turned from unremittingly negative through the late fall of last year to a far more mixed set of signals recently .",bright,positive;promising;good;optimisitc;hopeful,sunny;strong;hot;brightly;clear;solid;sharp;brilliant;light;vibrant
Snow covered areas appear bright blue in the image which was taken in early spring and shows deep snow cover .,bright,shining;deep;vivid;luminous;vibrant,pale;light;brightly;hot;sharp;dark;brilliant;vibrant;pretty;vivid
"She turns eyes bright with excitement towards Fiona , still tugging on the string of the minitiature airship-cum-dance card she has just received at the door .",bright,shining;alight,brightly;sharp;brilliant;light;dazzling;vibrant;high;hot;radiant;blazing
A short excerpt : I was praying in private until someone got the bright idea of starting a Presidential Prayer Team .,bright,smart;intelligent;brilliant;great;clever,brilliant;hot;smart;cool;stupid;great;big;crazy;bold;neat
"So , unlike studio films , independent films cannot be conceptually geared to a marketing campaign , or used to recruit merchandising tie-ins .",films,movie;picture;production,movies;filmmakers;releases;cinema;filmmaking;productions;titles;credits;materials;narratives
The packed screening of about 100 high-level press people loved the film as well .,film,movie;picture,cinema;vehicle;movie;filmmaker;humour;title;video;footage;documentary;release
I think most filmmakers for the most part right now they’re thinking about the DVD when they go in to production because the reality is DVD is where the great majority of your audience is going to experience the film .,film,movie;picture,filmmakers;filmmaker;directors;movie;movies;screen;director;video;content;filmmaking
Dune makes the second Lynch film to be released in a consumer HD format ( Mulholland Drive on D-VHS being the first ) .,film,movie;picture,movie;cinema;release;documentary;vehicle;thriller;print;final;video;filmmaker
"Film Music Literature Cyberplace - Includes film reviews , message boards , chat room , and images from various films .",film,movie;picture,cinema;movie;filmmaker;newspaper;video;media;select;cinematic;programme;material
His feature film debut HEROES / DE STÃRSTE HELTE ( 1996 ) won awards at Rouen and Madrid .,film,movie;picture,cinema;movie;filmmaking;novel;story;cinematic;fiction;feature;material;screen
"( Some people keep their TVs on for company. ) In Malta , news is the main reason we turn to TV , followed by films , talk shows , documentaries , serials , and music , in that order .",films,movie;picture,movies;newspapers;cinema;photographs;filmmakers;novels;videos;documentaries;DVDs;releases
"The film shows Afghan mercenaries to be involved with the separatists , suggesting that the present struggle in Kashmir has been hijacked by foreign extremists , who are shown discussing the loss of Bangladesh in the 1971 war , providing it as a justification for their present acts of revenge .",film,documentary;movie;picture,movie;video;filmmaker;documentary;cinema;plot;footage;photo;clip;report
A fine score by George Fenton ( THE CRUCIBLE ) and beautiful photograhy by Roger Pratt add greatly to the effectiveness of the film .,film,movie;picture,movie;cinema;documentary;title;story;video;picture;final;thriller;work
"The success of Autry ' s early films was not enough to save Mascot Pictures , which collapsed under the weight of debts held by Consolidated Film Laboratories , which did Mascot 's film processing .",films,movie;picture;production,movies;releases;filmmakers;productions;features;works;novels;hits;pictures;campaigns
That 's not to say the process of actual negotiating is n't taking place .,taking,happen;occur,undergoing;occurring;going;gathering;starting;beginning;changing;happening
""" Hugh Grant and Alan Rickman , as Edward and Col. Brandon respectively , took the most chances and the various reviewers therefore either love or hate their performances .",took,experiment;risk,
It should n't take that long .,take,last;be;engage,go;last;finish;require;seem;use;happen;come;occur;run
"It only affects the start up time of a program , and for a process that takes several months ( his code was computing the 196 Palindrome Quest ) , it does not matter if the initialization code takes 1/1,000th of a second or 1/10,000th of a second .",takes,last;occupy,lasts;requires;goes;runs;uses;needs;finishes;includes;covers;waits
"If we take the factual context in which the term is used into consideration , then its extension becomes limited , owing to the context .",take,consider;accept;include;think,use;consider;place;accept;treat;remove;assume;put;include;factor
"If you do n't take the risk of dying by driving to the store , your house could collapse on you and kill you anyway .",take,tolerate;run;undergo;accept;risk,accept;run;risk;want;consider;stop;put;place;face;assume
"The Governor took the big sheets of imitation parchment , glanced over them , signed his name to each , laid down the pen , and handed the papers across the table to Dreier .",took,pick;gather;collect;get;grasp,got;grabbed;removed;chose;gave;gathered;ook;seized;saw;accepted
"O'Neill and the two men who worked under his supervision maintained the avenue , raking the thin gravel and removing any weed that tried to take root in the stony earth .",take,grow;establish,gain;find;seek;seize;claim;place;grow;fall;assume
"Even if the Anglo-French Summit did not take place until next year , the Prime Minister and President Chirac were still due to see each other in November and December .",take,occur;happen,place;fall;begin;date;occur;go;come;turn
"40 Day-to-day financial and operational management is the responsibility of the Chief Officer , who took up her post in June 2001 .",took,assume;begin;start,picked;gave;began;finished;signed;filled;assumed;chose;ook;started
"Anyway , my pants are getting tight .",tight,constricting;small;too;uncomfortable;constricted;close-fitting,thick;snug;thin;fat;strict;cramped;soft;hot;short;smart
"With the physical market has tight as it has been in memory , silver could fly at any time .",tight,high-strung;low;pressurised;constricted,tightened;closed;compressed;close;cheap;relaxed;locked;firm;tightening;traded
"More ... Specialty coffee market quiet , supplies tight Posted at 2:57 PM by Robert Badgett By Bruce Kamich NEW YORK , June 6 ( Reuters ) - Specialty coffee dealers said on Friday that business was unusually quiet with most retailers ' sales numbers down from a year ago , but prices for choice beans remained firm with supplies short until the next crops become available .",tight,scarce;sparse;constricted;not,
If your money is tight do n't cut corners .,tight,scarce;close;constricted;not,soft;thick;cheap;strict;thin;hot;scarce;short;weak;tightening
"Each child lies inside an Isolette incubator , a clear acrylic rectangle with ample room for a half-sized premature baby , though the quarters become tight for the full-term eight-pounders .",tight,close-fitting;too;constricted;restricted;cramped,cramped;snug;tightened;stiff;strict;thick;tightly;narrow;tense;soft
""" It can be intimidating at first , because they wrap their arms pretty tight around you , and everything they latch onto is pretty much headed straight to their mouth , "" Schmitz said .",tight,closely;close;firmly,
The incisions will feel tight for the first 24-48 hours .,tight,compressed;uncomfortable;constricted;stretched,tightly;soft;snug;tightened;cramped;tightening;thick;close;closed;sharp
"Except for the soldiers , Goth was locked up tight .",tight,secure;securely;firmly,tightly;close;thick;shut;hot;strict;tough;quick;neat;thin
Nathan Robins : Did well to keep tight on the Left winger and was harshly judged by the referee on several occasions to have fouled the opposing player when I felt he just out muscled him .,tight,close;on;close;close;near,tightly;close;strict;tough;fit;snug;neat;fast;quick;strong
I know that the market is tight right now .,tight,close;pressured;low;constricted;restricted,weak;tightening;hot;soft;short;narrow;close;shut;tightly;cheap
That 's not a very high bar .,bar,marker;level;barrier;pole;obstruction;hurdle,standard;level;floor;score;one;barrier;stage;price;ceiling;profile
"This more upright position is most easily and affordably achieved through slapping a riser bar on your setup , and only requires you to buy a bar instead of a bar and stem .",bar,handlebar,tab;back;pad;bin;rail;barb;rod;counter;rack;cage
For twelve hours Livewire will be broadcasting live from the blue bar of Union House at UEA in an attempt to raise as much money as possible for a very worthy cause .,bar,pub;drinking;hostelry;saloon,wall;room;light;bell;hall;pub;gate;square;barrel;floor
"The British government imposed a colour bar in its colonies , so young blacks went in only for law or medicine where they could make a living without government support .",bar,restriction;ban;exclusion;prohibition,ban;barrier;law;tax;guard;standard;floor;limit;wall;code
Put granola bars in bowl .,bars,snack;biscuit;slab;block,strips;balls;drinks;pieces;sticks;bags;squares;products;blocks;packs
It 's been a criticism of IE 's scrollbar CSS and also stands for the status bar .,bar,banner;indicator;menu,tab;able;box;back;er;car;wheel;pad;dash;bridge
"2 ) Straddling the center bar , your child should be able to keep both feet flat on the ground with about a 1-inch clearance between the crotch and the bar .",bar,pole;apparatus;metal;crossbar;rod,rod;rail;back;counter;rack;pad;board;seat;plate;arm
"Seventy-five percent of my clientele that comes in there , they are just like a person on a Friday afternoon going into a bar , and he sits at the counter , and the bartender knows what he wants to drink .",bar,prevent;obstruct;block;exclude,pub;club;tavern;restaurant;store;car;hotel;bartender;room;shop
"The night is long at the numerous other discos and clubs , but for those seeking something more sedate there are quieter , sophisticated bars in the hotels .",bars,pub;saloon,pubs;venues;clubs;bands;ones;cafes;drinks;courts;counters;tabs
Abstract : Analysis of contact between two chromosomal races of house mice in northern Italy show that natural selection will produce alleles that bar interracial matings if the resulting offspring are unfit hybrids .,bar,lounge;pub;drinking,prevent;prohibit;ban;restrict;allow;inhibit;preclude;limit;block;hinder
"When Time magazine 's cover portrays millennium nuts as deranged , crazy Christians holding a cross as it did last month , boycott their magazine and the products it advertises .",cross,crucifix,crucifix;stake;check;sign;flag;sword;Bible;torch;priest;stick
"Four-Set in a cross , the points meeting in water surrounded by luminous crescents .",cross,crucifix;x;two,circle;triangle;line;square;bridge;pivot;bowl;ring;cup;point
It was designed in the form of a cross with a cast iron sword placed where the cross members join .,cross,crucifix;x;two,crucifix;bridge;shield;box;sword;chain;circle;wall;rope;square
"Triticale , a cross between wheat and rye , matures later than rye but earlier than wheat .",cross,hybrid;hybrid;mixture,mix;bridge;link;crossover;mixture;fork;line;change;difference;hybrid
"Old Nick got tired of cussing , was humiliated at being sat on , and hurting like the torments of Hell for being so close to the cross .",cross,crucifix,crucifix;stake;post;bridge;box;cage;wall;work;priest;end
By 1924 he managed to transmit across a few feet the flickering image of a Maltese cross and on 26th January 1926 he gave the world 's first demonstration of true television in his attic workshop before some fifty scientists .,cross,crucifix,across;span;wire;bridge;distance;last;mere;spanning;by;within
He appeared to his apostles and spoke to them about God 's kingdom. ' Acts 1:3 Jesus took the consequences of our self-centredness by giving up his life on the cross .,cross,crucifix,crucifix;sacrifice;stake;sign;spot;ground;line;alter;cage;test
"If power cycling occurs , care must be taken to account for the "" dead time "" between shutdown and power up when the latchup cross section is evaluated .",cross,right;transverse;sequence;segment,
""" Mixed race people represent a diverse cross section of racial , ethnic , and cultural heritages , with many multiracial individuals identifying with multiple communities , "" the organizations stated .",cross,representative;mixture;sample;typical,
"I can only judge keyboards by going into somewhere like PC World and physically trying them , and I do not want to go into somewhere like PC World , as I do not want to get cross .",cross,angry;annoyed;irate;irritated,offended;upset;angry;confused;touched;sick;close;lost;hurt;hit
"Mr. Hall 's old factory is still on Oklahoma Avenue , but the metal fabrication plant where Mr. Larson worked finally closed last year after withering for decades .",finally,eventually;ultimately;at,eventually;abruptly;suddenly;also;mysteriously;ultimately;first;mostly;apparently;recently
"Finally , this new rule will also have the effect of encouraging existing corporations to produce safer products , in keeping with the public policy goals that underlie product liability law generally. [ Fn .",Finally,lastly;in,note;Thus;together;However;and;Indeed;Since;Specifically
"However , this easy clearing method has muddled the issue quite a bit , since now Explorer is not actually being cleared at all , while Gecko browsers have finally been corrected so they do clear all previous floats .",finally,at;at;eventually,recently;suddenly;thankfully;first;actually;also;clearly;hopefully;last;usually
"Finally , Adam sees the ID card being used as an authenticator because it might be declared “trustworthy ; .",Finally,lastly;to;in;eventually,However;actually;note;Indeed
"He said ,  OK , first , I d like to have a face like Clark Gable , then , I d like a build like Arnold Schwarzenegger , and finally , I d like sexual equipment like this here horse I m riding .",finally,lastly;also,eventually;suddenly;third;later;last;final;repeatedly;three;ultimately;even
"Finally , I interviewed Eric Howes , a noted spyware researcher at the University of Illinois , who has found that today s most popular anti-spyware software packages are far less effective than many believe ( see sidebar , below ) .",Finally,lastly;at;eventually,Recently;Earlier;Previously;Yesterday;Today;Last;For;Later;Additionally;Also
"However , you will get those NSF fees reimbursed by the bank as well - it will just come when they finally process everything together .",finally,eventually;at,eventually;actually;clearly;first;ultimately;suddenly;collectively;final;finish;quickly
"Finally , the Army has conducted range characterization activities regarding the potential for contamination from munitions residues at 17 ranges throughout the United States , assessing the different types of ranges used by the Army .",Finally,lastly;at;eventually,together;since;and;Previously;Recently;year;Additionally;Specifically
"Finally , it is outlined how a mesoscopic theory should be constructed for a particular scanning tunneling microscopy experiment in order to overcome the failure of a corresponding reactiondiffusion model to quantitatively reproduce the experiments .",Finally,lastly;last;in,and;section;together;note
"Finally , the proposed disposal rule would apply to transfer agents registered with the Commission .",Finally,lastly,and;note;since
Up to sixty percent of the fatty acid content in the grasses on the plains contain omega-3 and are found in abundance in buffalo allowed to graze on the natural grasses .,found,discover;evident;present;exist;detect,located;seen;detected;discovered;contained;used;present;reported;grown;measured
If you find yourself caught up in negative thoughts and find that you suddenly expect the worst it will be impossible to perform at your peak .,find,realise;discover;feel,catch;feel;get;discover;see;conduct;sense;end;locate;hold
"Search Customer Reviews 9 of 10 people found the following review helpful : Early feminist literature - memorable , November 21 , 2000 Reviewer : M. J. Smith ( Seattle , WA USA ) - See all my reviews This book consists of a gem of a story and a mediocre afterward .",found,believe;discover;think;felt,considered;thought;deemed;discovered;sought;made;located;felt;decided;looked
Well they have a friend named Morgan and Morgan told them to find an object that he wants .,find,look;locate;discover;seek,locate;get;seek;discover;pick;buy;search;choose;bring;hide
"Consistent with previous findings , lack of congruence was found to be a precursor of intrusiveness .",found,discover;show;recognised;believe;see,shown;discovered;tested;proved;determined;detected;reported;known;proven;revealed
"nokia mobile phone cases , motorola cell phone cases , motorola cell phone case , body glove cell phone case I think the best place where you can find CELL PHONE CARRYING CASE is eBay .",find,get;locate;discover;buy,get;buy;locate;sell;look;put;hide;make;obtain;see
"Oh , and as far as the Kool-Aid jokes , find your own material .",find,get;discover;look;invent;locate;write;obtain,choose;discover;create;read;make;pick;search;get;write;select
"But much that we once accepted as inevitable , we now find absolutely intolerable .",find,consider;perceive;see;believe;think;feel;realise,consider;feel;deem;discover;see;regard;hold;call;know;seek
SpeedUpMyPC automatically finds the best settings for your PC and carefully controls your system resources to give you the best performance .,finds,discover;locate;determine;ascertail;calculate,chooses;gets;picks;learns;selects;discovers;makes;identifies;detects;tunes
"If Bessler had indeed discovered some mechanical way of creating perpetual motion , perhaps the only way it is explainable is if he had found a way of extracting the energy from this Aether .",found,discover,discovered;located;sought;used;known;learned;uncovered;chosen;identified;developed
