precontext,target_sentence,postcontext,substitutions,replace,replace_proc
,A mission to end a war,"AUSTIN, Texas -- Tom Karnes was dialing for destiny, but not everyone wanted to cooperate.","{'mission': 'calling;campaign;dedication;devotion;duty;effort;goal;initiative;intention;movement;plan;pursuit;quest;step;task', 'end': 'abolish;cease;conclude;finish;halt;stop;terminate', 'war': 'battle;combat;conflict;crusade;fight;struggle'}","{'mission': 'mission;and;plan;trying;quest;attempt;Mission;bid;campaign;way;ans;ager;ing;wanted;battle', 'end': 'stop;win;ending;end;close;ends;wage', 'war': 'wars;ww;life;battle;conflict;war'}","{'mission': 'mission;and;plan;trying;quest;attempt;mission;bid;campaign;way;an;ager;ing;wanted;battle', 'end': 'stop;win;ending;end;close;end;wage', 'war': 'war;ww;life;battle;conflict;war'}"
,"A.L. Williams Corp. was merged into Primerica Corp., New York, after a special meeting of Williams shareholders cleared the transaction, the companies said.","Primerica, which had owned nearly 70% of Williams, will pay about 16.7 million shares, currently valued at almost $472 million, for the rest of Williams.","{'merged': 'absorb;assimilate;combine;join;take;tie', 'special': 'exclusive;important;particular;specific;unscheduled', 'meeting': 'assemblage;assembly;conference;convention;gathering;reunion', 'shareholders': 'backer;holder;investor;owner;shareowners;stock owner;stockholder', 'cleared': 'approve;assent to;authorize;diminish;okay;pass', 'transaction': 'affair;deal;negotiation;proceeding;proposal;sale;venture', 'companies': 'business;concern;corporation;firm;group;organization;party', 'said': 'announce;cite;note;remark;state'}","{'merged': 'split;merger;merge;absorbed;merging;combined', 'special': 'secret;joint;shareholders;shareholder;June', 'meeting': 'vote;meet;session;met;election;ballot', 'shareholders': 'investors;shareholder;owners;board;trustees;members;shares', 'cleared': 'approves;authorized;approved;approving;recommended;approve', 'transaction': 'merger;deal;transactions;integration;acquisition;consolidation;takeover', 'companies': 'company;parties;sides;papers;corporations;organizations;giants', 'said': 'Tuesday;announced;called;merged;say'}","{'merged': 'split;merger;merge;absorbed;merging;combined', 'special': 'secret;joint;shareholder;shareholder;june', 'meeting': 'vote;meet;session;met;election;ballot', 'shareholders': 'investor;shareholder;owner;board;trustee;member;share', 'cleared': 'approves;authorized;approved;approving;recommended;approve', 'transaction': 'merger;deal;transaction;integration;acquisition;consolidation;takeover', 'companies': 'company;party;side;paper;corporation;organization;giant', 'said': 'tuesday;announced;called;merged;say'}"
,ANGELS MAKE TRADE TO GET OUTFIELD DEPTH,"ANAHEIM, Calif. -- The Anaheim Angels got help where they felt they needed it most, agreeing to trade for Milwaukee Brewers outfielder Alex Ochoa only hours before Wednesdays nonwaiver trading deadline.","{'MAKE': 'accept;arrange;carry out;conduct;do;execute;forge;generate;initiate;perform;settle;spawn', 'TRADE': 'a way;barter;deal;exchange;player trade;procurement;swap;transaction', 'GET': 'achieve;acquire;add;attain;bolster;capture;find;gain;glean;land;obtain;receive'}","{'MAKE': 'Make;Reach;Made;Via;Use;make;Makes;Nab;Ink;Making;Score;Accept', 'TRADE': 'TR;Tr;PR;M;PL;Ple;Trade;Rep', 'GET': 'get;Help;SNAP;Move;OPT;Getting;Reach;HELP;Stay;Send;Find;LET'}","{'MAKE': 'make;reach;made;via;use;make;make;nab;ink;making;score;accept', 'TRADE': 'tr;tr;pr;m;pl;ple;trade;rep', 'GET': 'get;help;snap;move;opt;getting;reach;help;stay;send;find;let'}"
,"CHRON EDITORS NOTE: Each week, The Chronicle offers readers a look at the more unusual fruits, vegetables and herbs of each season and how to use them.",THE PRODUCE BIN: Bitter melon,"{'NOTE': 'addendum;addition;comment;input;message;notice;post script;review', 'week': 'period', 'offers': 'bring;deliver;furnish;give;provide;show;supply', 'readers': 'audience;fan;follower;subscriber;viewer', 'look': 'gander;glance;glimpse;overview;peak;peek;view', 'more': 'comparatively more;distinctively;exceptionally;great;most;rather;somewhat;truly;very', 'unusual': 'amazing;awesome;exotic;odd;rare;special;strange;uncommon;unique', 'fruits': 'crop;food;fruit specimen;plant;produce', 'vegetables': 'herbage;plant;produce;vegetable specimen;veggies', 'herbs': 'botanical;herbal specimen;plant;spice', 'season': 'calendar season;grow season;period;quarter;term;time;year', 'use': 'cook;eat;employ;fix;incorporate;make use of;prepare;serve;utilize'}","{'NOTE': 'Note;ES;OFF;IAL;LOG;note;VIEW;Notes', 'week': 'month', 'offers': 'presents;gives;ives;brings;offer;introduces;emails', 'readers': 'subscribers;us;visitors;customers;consumers', 'look': 'peek;glimpse;glance;crack;looks;looking;looked', 'more': 'less;different;fres;New;f;best;many;new;cut', 'unusual': 'exotic;important;interesting;unique;delicious;distinctive;peculiar;extraordinary;popular', 'fruits': 'herbs;fruit;ruits;Veg;dishes', 'vegetables': 'veggies;vegetable;greens;grains;herbs', 'herbs': 'vegetables;meats;grains;spices', 'season': 'year;month;week;region;summer;winter;day', 'use': 'utilize;enjoy;eat;Use;misuse;uses;prepare;appreciate;handle'}","{'NOTE': 'note;e;off;ial;log;note;view;note', 'week': 'month', 'offers': 'present;give;ives;brings;offer;introduces;email', 'readers': 'subscriber;u;visitor;customer;consumer', 'look': 'peek;glimpse;glance;crack;look;looking;looked', 'more': 'le;different;fres;new;f;best;many;new;cut', 'unusual': 'exotic;important;interesting;unique;delicious;distinctive;peculiar;extraordinary;popular', 'fruits': 'herb;fruit;ruits;veg;dish', 'vegetables': 'veggie;vegetable;green;grain;herb', 'herbs': 'vegetable;meat;grain;spice', 'season': 'year;month;week;region;summer;winter;day', 'use': 'utilize;enjoy;eat;use;misuse;us;prepare;appreciate;handle'}"
,"Coleco Industries Inc., a once high-flying toy maker whose stock peaked at $65 a share in the early 1980s, filed a Chapter 11 reorganization plan that provides just 1.125 cents a share for common stockholders.","Under the plan, unsecured creditors, who are owed about $430 million, would receive about $92 million, or 21 cents for each dollar they are owed.","{'once': 'before;formerly;in the past;old;one time;past;previously', 'high': 'independently', 'flying': 'earn;roll;soar', 'toy': 'gadget;game;kid product;object;product;trinket', 'maker': 'company;creator;manufacturer;owner;producer', 'stock': 'share;stockholder', 'peaked': 'culminate;end;hit high;plateaue;reach;reach a high;soar', 'share': 'stock;stockholder;trade', 'early': 'begin;past', 'filed': 'claim;give;register;serve;submit', 'Chapter': 'notice;section', 'reorganization': 'changing;organization;regroup;rehabilitation;restructuring;restucturing', 'plan': 'blueprint;idea;procedure;program;proposal;scheme;strategy;thought', 'provides': 'allow;bring;earn;give;have;render;supply;yield', 'just': 'merely;only;simply', 'cents': 'pence;penny', 'common': 'all;general;group;normal;ordinary;regular;standard', 'stockholders': 'holder;owner;share owner;shareholder'}","{'once': 'formerly;former;famously;historically;seemingly;notoriously;highly', 'high': '-', 'flying': 'flyer;flying;end', 'toy': 'candy;movie;cigarette;popcorn;plastics;steel', 'maker': 'maker;manufacturer;company;producer;designer', 'stock': 'share;stocks', 'peaked': 'traded;peak;soared;peaks;closed;topped;valued', 'share': 'stock;million;cent', 'early': 'mid;early', 'filed': 'proposed;files;sued;filings;sought', 'Chapter': 'bankruptcy;chapter', 'reorganization': 'reorgan;revital;restruct;special;indemn;organ', 'plan': 'proposal;scheme;plans;Monday;arrangement;suit;program;package', 'provides': 'pays;gives;yields;offers;promises;would;creates;guarantees', 'just': 'exactly;little;roughly', 'cents': 'per;cent', 'common': 'ordinary;public;current;preferred;regular;company;stock', 'stockholders': 'stock;shares;stocks;share'}","{'once': 'formerly;former;famously;historically;seemingly;notoriously;highly', 'high': '-', 'flying': 'flyer;flying;end', 'toy': 'candy;movie;cigarette;popcorn;plastic;steel', 'maker': 'maker;manufacturer;company;producer;designer', 'stock': 'share;stock', 'peaked': 'traded;peak;soared;peak;closed;topped;valued', 'share': 'stock;million;cent', 'early': 'mid;early', 'filed': 'proposed;file;sued;filing;sought', 'Chapter': 'bankruptcy;chapter', 'reorganization': 'reorgan;revital;restruct;special;indemn;organ', 'plan': 'proposal;scheme;plan;monday;arrangement;suit;program;package', 'provides': 'pay;give;yield;offer;promise;would;creates;guarantee', 'just': 'exactly;little;roughly', 'cents': 'per;cent', 'common': 'ordinary;public;current;preferred;regular;company;stock', 'stockholders': 'stock;share;stock;share'}"
,"Elco Industries Inc. said it expects net income in the year ending June 30, 1990, to fall below a recent analysts estimate of $1.65 a share.","The Rockford, Ill., maker of fasteners also said it expects to post sales in the current fiscal year that are slightly above fiscal 1989 sales of $155 million.","{'said': 'announce;assert;cite;note;remark;state', 'expects': 'anticipate;forecast;predict;think', 'net': 'after tax;bottom line;clear;final;pre tax;profit;remain;take home;total;undeductible', 'income': 'earning;gain;gross;profit;revenue', 'year': 'annual;annum;period;season;term', 'ending': 'close;conclude;finalize;finish;terminate', 'fall': 'decrease;drop;go', 'recent': 'current;late;new', 'analyst': 'critic;expert;researcher;studier', 'estimate': 'approximation;average;calculation;forecast;prediction', 'share': 'piece;stock;trade'}","{'said': 'says;said;say;today;Friday;reported', 'expects': 'expect;expecting;forecast;projects', 'net': 'total;ed;combined;share;PAT;est;quarterly;reported;div;basic', 'income': 'profit;earnings;profits;loss;average', 'year': 'years;quarter;period;week;account', 'ending': 'ending;ended;end;starting;ends', 'fall': 'drop;slip;fell', 'recent': 'consensus;analyst;prior', 'analyst': '', 'estimate': 'consensus;forecast;estimates;average;guess', 'share': 'cent;share;stock'}","{'said': 'say;said;say;today;friday;reported', 'expects': 'expect;expecting;forecast;project', 'net': 'total;ed;combined;share;pat;est;quarterly;reported;div;basic', 'income': 'profit;earnings;profit;loss;average', 'year': 'year;quarter;period;week;account', 'ending': 'ending;ended;end;starting;end', 'fall': 'drop;slip;fell', 'recent': 'consensus;analyst;prior', 'analyst': '', 'estimate': 'consensus;forecast;estimate;average;guess', 'share': 'cent;share;stock'}"
,Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage.,That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage.,"{'Electronic': 'anodic;computer;computerized;technology;voltaic', 'theft': 'appropriation;burglary;espionage;filch;pilfer;piracy;shoplift;steal;thievery', 'foreign': 'alien;estrange;exotic;immigrant;remote;strange', 'industrial': 'business;economic;industrialized;manufacturing;mechanized;trade', 'spies': 'agent;double;espionage;mole;plant;sleuth;undercover', 'disgruntled': 'angry;crabby;critical;disaffected;discontent;displease;dissatisfied;feed up;irate;irritated;resentful;unhappy;upset', 'employees': 'associate;jobholder;laborer;personnel;staff;subordinate;worker;workman', 'costing': 'bear;cause;damage;lose;squander', 'companies': 'business;corporation;employer;enterprize;firm;organization;store', 'billions': 'load;lot;ton', 'eroding': 'chip away at;corrode;crumble;damage;decrease;deteriorate;diminish;disrupt;impair;reduce;wear away;wear down;wither', 'international': 'global;intercontinental;national;overall;overseas;universal;world wide;worldly;worldwide', 'competitive': 'aggressive;ambitious;combative;contest;driven;economic;economical;good;reasonable;rival;unique', 'advantage': 'authority;bonus;command;dominance;edge;favor;lead;stance;superiority;upper hand'}","{'Electronic': 'IP;Digital;information;Identity;Data', 'theft': 'stealing;thefts;espionage;steal;infiltration;appropriation;fraud;acquisition;stolen', 'foreign': 'corporate;state;government;political;contract;politicians', 'industrial': 'domestic;national;corporate;American;local;internal', 'spies': 'espionage;spy;agents;workers;spying;intelligence;insiders', 'disgruntled': 'former;corporate;IT;trusted;union;government;industrial;spy;domestic;state;local;internal;rogue', 'employees': 'staffers;spies;agents;FBI;aides;staff;associates;leaders', 'costing': 'cost;hurting;saving;costs;robbing', 'companies': 'corporations;firms;giants;corporate;.;business;players', 'billions': 'money;millions;spies', 'eroding': 'impl;dem;er;dec;deb;de;der;sa;den;corro;ne;hal;neg', 'international': 'global;overall;strategic;competitive;internationally;economic;future;supposed;foreign', 'competitive': 'competitiveness;business;economic;competitor;market;competition;trade;competitive;cost;PR;price', 'advantage': 'advantages;edge;position;interest;superiority;benefits;image;relations;health;upside'}","{'Electronic': 'ip;digital;information;identity;data', 'theft': 'stealing;theft;espionage;steal;infiltration;appropriation;fraud;acquisition;stolen', 'foreign': 'corporate;state;government;political;contract;politician', 'industrial': 'domestic;national;corporate;american;local;internal', 'spies': 'espionage;spy;agent;worker;spying;intelligence;insider', 'disgruntled': 'former;corporate;it;trusted;union;government;industrial;spy;domestic;state;local;internal;rogue', 'employees': 'staffer;spy;agent;fbi;aide;staff;associate;leader', 'costing': 'cost;hurting;saving;cost;robbing', 'companies': 'corporation;firm;giant;corporate;.;business;player', 'billions': 'money;million;spy', 'eroding': 'impl;dem;er;dec;deb;de;der;sa;den;corro;ne;hal;neg', 'international': 'global;overall;strategic;competitive;internationally;economic;future;supposed;foreign', 'competitive': 'competitiveness;business;economic;competitor;market;competition;trade;competitive;cost;pr;price', 'advantage': 'advantage;edge;position;interest;superiority;benefit;image;relation;health;upside'}"
,FALL BALLOT ISSUES set a record for off-year elections.,Odd-year elections attract relatively few ballot issues.,"{'FALL': 'November;October;September;autumn', 'BALLOT': 'appoint;election;franchise;nominate;poll;referendum;tally;vote;voting', 'ISSUES': 'argument;concern;controversy;debate;difficulty;dilemma;obstacle;problem;question;subject;topic', 'set': 'conclude;conclude in;confirm;determine;fix;lock;make;obstinate;result in;root;settle', 'record': 'benchmark;ceiling;high;mark;maximum;new goal', 'year': 'annual;season;term', 'elections': 'ballot;race;vote;voting'}","{'FALL': 'F;SM;FE;ST', 'BALLOT': 'BALL;Ball;ROB;RO;BO;SH;PL;SAL;LOG', 'ISSUES': 'R;AP;MIS;E;SC;IS;F;IN;T;OW;J', 'set': 'sets;setting;put;set;stand;mark;Set;establish;reset;create;cast', 'record': 'precedent;records;Records;course;benchmark;Record', 'year': 'year;ballot;cycle', 'elections': 'polls;election;seats;primaries'}","{'FALL': 'f;sm;fe;st', 'BALLOT': 'ball;ball;rob;ro;bo;sh;pl;sal;log', 'ISSUES': 'r;ap;mi;e;sc;is;f;in;t;ow;j', 'set': 'set;setting;put;set;stand;mark;set;establish;reset;create;cast', 'record': 'precedent;record;record;course;benchmark;record', 'year': 'year;ballot;cycle', 'elections': 'poll;election;seat;primary'}"
,First of America Bank Corp. said it completed its acquisition of Midwest Financial Group Inc. for about $250 million.,"First of America, which now has 45 banks and $12.5 billion in assets, announced an agreement to acquire the Peoria, Ill., bank holding company in January.","{'said': 'announce;cite;declare;imply;note;say;state', 'completed': 'complete;end;finalize;finish;own', 'acquisition': 'acquire;assimilation;buy;gain;hold;ownership;procurement;secure;take over;transferral'}","{'said': 'announced;says;said;reported;Thursday;yesterday;today', 'completed': 'completes;finalized;closed;concluded;finished', 'acquisition': 'purchase;takeover;deal;acquisitions;acquire;sale;transaction;merger;purchases;purchasing'}","{'said': 'announced;say;said;reported;thursday;yesterday;today', 'completed': 'completes;finalized;closed;concluded;finished', 'acquisition': 'purchase;takeover;deal;acquisition;acquire;sale;transaction;merger;purchase;purchasing'}"
,GOODY PRODUCTS Inc. cut its quarterly dividend to five cents a share from 11.5 cents a share.,The reduced dividend is payable Jan. 2 to stock of record Dec. 15.,"{'cut': 'decrease;divide;lower;pare;reduce;slash;split;trim', 'quarterly': '3 month;four month;periodic;quarter period;seasonal;semester', 'dividend': 'compensation;disbursement;earning;payment;profit;return;share profit;yield', 'cents': 'penny', 'share': 'market share;part;piece;portion;stock;trading unit'}","{'cut': 'reduced;slashed;cut;cuts;Cut;increased;ed;trimmed', 'quarterly': 'cash;special;periodic;minimum;interim;increased', 'dividend': 'dividends;distribution;earnings;payout;div;pay;royalty;cash', 'cents': 'cent', 'share': 'Share;year;shares;par;place;se'}","{'cut': 'reduced;slashed;cut;cut;cut;increased;ed;trimmed', 'quarterly': 'cash;special;periodic;minimum;interim;increased', 'dividend': 'dividend;distribution;earnings;payout;div;pay;royalty;cash', 'cents': 'cent', 'share': 'share;year;share;par;place;se'}"
