total.x 1 ::: totaled;minimum;total;result;maximum;fee;balance;totaling;net;sum
think.x 2 ::: thought;mean;want;reckon;say;see;suggest;need;believe;care
okay.x 3 ::: alright;ok;fine;right;good;true;agreed;like;great;Eh
checking.x 4 ::: trying;check;keeping;getting;seeing;touching;reading;crossing;breaking;testing
call.x 5 ::: called;throw;calling;Call;call;call;draw;turn;set;bring
drove.x 6 ::: plunged;hammered;driven;drive;took;drive;sank;kicked;pressed;dug
swear.x 7 ::: swore;think;dunno;regret;apologize;trust;agree;believe;promise;mean
asked.x 8 ::: K;pressed;begged;told;called;Beg;went;could;D;wondered
set.x 9 ::: set;pair;setting;sound;heard;another;hundred;group;tone;couple
booth.x 10 ::: booth;tent;room;stage;shop;show;lounge;house;office;table
case.x 11 ::: example;case;instance;interest;Case;name;testimony;fate;tale;story
open.x 12 ::: opened;opening;awake;clear;dead;real;empty;black;blind;set
jealous.x 13 ::: greedy;angry;rogue;disgruntled;mad;rival;lonely;psychotic;masked;drunken
lead.x 14 ::: take;guide;get;direct;escort;see;bring;led;call;help
chances.x 15 ::: odds;prospect;ances;probability;chance;circumstance;cop;result;hope;possibility
kind.x 16 ::: generous;kindly;offer;tender;sort;kindness;good;gracious;loan;type
minute.x 17 ::: second;min;moment;minute;hour;sec;pint;shot;round;.
says.x 18 ::: hope;say;ally;state;said;demand;belief;want;claim;suggests
box.x 19 ::: tin;chest;box;pot;jar;key;cup;book;crate;case
way.x 20 ::: mean;reason;use;meaning;thread;way;order;hope;card;way
indicate.x 21 ::: suggest;signal;strike;show;imply;denote;underscore;reveal;reflect;posit
walking.x 22 ::: standing;sitting;walked;appearing;already;still;approaching;pacing;wandering;following
chips.x 23 ::: silicon;component;part;equipment;module;product;material;product;technology;device
logical.x 24 ::: natural;perfect;rational;logically;mere;necessary;possible;legal;suitable;major
salad.x 25 ::: salad;dressing;sauce;cheese;pasta;Caesar;jar;le;dish;ar
big.x 26 ::: major;huge;key;giant;good;real;significant;non;massive;great
past.x 27 ::: passed;behind;around;inside;toward;thru;beyond;across;underneath;away
do.x 28 ::: 
very.x 29 ::: extremely;really;quite;s;super;kinda;pretty;rather;absolutely;certainly
forward.x 30 ::: forward;along;together;around;across;apart;dice;ahead;seat;away
calm.x 31 ::: sit;lie;simmer;stay;slow;settle;cool;uckle;come;shut
see.x 32 ::: saw;get;thank;meet;See;visit;hear;look;help;seen
Let.x 33 ::: Don;let;Lets;letting;Here;I;We;lett;git;It
proposed.x 34 ::: suggested;recommended;proposing;propose;made;pitched;proposes;sanctioned;announced;advocated
discover.x 35 ::: determine;verify;establish;know;ascertain;see;confirm;learn;check;sort
pouch.x 36 ::: bag;pocket;purse;cup;case;holder;wallet;box;jar;sack
said.x 37 ::: say;felt;alleged;wrote;claimed;insisted;alleges;She;put;belief
driving.x 38 ::: going;walking;moving;traveling;following;passing;running;travelling;talking;looking
thought.x 39 ::: think;told;supposed;noticed;said;though;saw;knew;forgot;dreamed
interesting.x 40 ::: fascinating;intriguing;weird;funny;interested;telling;unique;curious;relevant;like
Let.x 41 ::: let;See;let;Allow;Hear;Help;Follow;May;Here;Will
problem.x 42 ::: deal;trouble;cause;issue;secret;point;score;story;case;problem
starting.x 43 ::: beginning;since;coming;going;starting;Starting;dating;including;started;except
business.x 44 ::: problem;enterprise;process;work;undertaking;industry;operation;challenge;market;job
monitored.x 45 ::: intercepted;recorded;collected;tracked;supervised;watched;controlled;logged;censored;obtained
get.x 46 ::: got;git;see;hear;want;till;get;get;like;say
very.x 47 ::: really;terribly;extremely;quite;pretty;real;super;exceptionally;particularly;damn
want.x 48 ::: wanna;need;got;wanted;still;love;get;know;plan;dont
let.x 49 ::: letting;make;let;see;let;leave;lett;saw;watch;Let
look.x 50 ::: stare;looked;punch;looking;glance;look;stab;poke;peek;Look
simple.x 51 ::: simply;easy;plain;much;clear;quick;good;thick;basic;old
pulse.x 52 ::: heartbeat;beat;sound;heart;laughter;pulse;water;pound;baby;car
cloth.x 53 ::: altar;music;sign;blood;crucifix;priest;cross;metal;flag;corpse
favorites.x 54 ::: favourite;favorite;winner;judge;contender;underdog;winner;.;best;leader
corporate.x 55 ::: online;digital;electronic;computer;ing;user;foreign;overseas;international;internet
heading.x 56 ::: headed;going;looking;ready;bound;walking;leaving;head;searching;hungry
privileges.x 57 ::: right;advocacy;benefit;pill;P;medicine;medical;justice;privilege;management
tame.x 58 ::: reduce;remove;lessen;dull;eliminate;minimize;combat;preserve;blunt;lower
suspended.x 59 ::: jailed;banned;reinstated;incarcerated;suspending;detained;imprisoned;sentenced;transferred;interrogated
calling.x 60 ::: called;visiting;call;ringing;pressing;asking;flying;raiding;ordering;reaching
wisdom.x 61 ::: advice;wise;insight;Power;truth;counsel;guidance;thought;advise;opinion
kid.x 62 ::: kid;dude;bro;boy;Nick;doc;idiot;son;child;Captain
next.x 63 ::: first;last;second;whole;fourth;entire;mean;next;one;third
know.x 64 ::: know;need;get;find;think;sense;found;mean;see;want
thought.x 65 ::: though;said;liked;felt;think;thought;,;loved;considered;wrote
wishful.x 66 ::: wish;wish;wished;purpose;dream;lust;pride;fright;need;forget
Come.x 67 ::: Do;Carry;Head;come;Go;Look;Came;Bang;Cum;Bring
new.x 68 ::: revolutionary;flying;strange;small;military;grand;foreign;war;scientific;civilian
then.x 69 ::: first;Then;went;going;later;thence;eventually;and;headed;go
coming.x 70 ::: alright;come;ok;gonna;ready;thru;leaving;walking;safe;guy
certain.x 71 ::: .;convinced;confident;assured;ine;sure;positive;ide;:;hopeful
personnel.x 72 ::: pilot;controller;chief;recruiting;commander;baggage;operation;clerk;medical;staff
inadequate.x 73 ::: insufficient;excessive;proper;ample;sufficient;limited;inappropriate;appropriate;formal;extensive
size.x 74 ::: ness;scope;scale;nature;ity;variety;eur;size;city;network
know.x 75 ::: learn;say;tell;ask;remember;understand;knew;know;see;guess
knock.x 76 ::: knocked;slap;get;take;swat;push;block;knocking;snatch;send
enough.x 77 ::: fine;easy;alright;perfect;good;plenty;right;true;cool;great
join.x 78 ::: join;lead;join;depart;joined;joining;see;start;bag;face
little.x 79 ::: lot;tad;bit;lil;touch;dash;taste;trace;shade;hint
now.x 80 ::: current;director;former;also;vice;formerly;senior;new;assistant;co
blood.x 81 ::: sweat;Blood;ink;eye;death;skin;marking;blood;eye;black
walk.x 82 ::: come;proceed;go;walk;ask;leave;approach;work;pas;look
fabrication.x 83 ::: I;In;,;.
Here.x 84 ::: There;Yes;here;This;So;yes;Thus;there;Whatever;That
more.x 85 ::: le;nearly;More;almost;roughly;well;around;closer;greater;close
sent.x 86 ::: cut;shipped;shut;traded;moved;send;dealt;let;turned;bumped
world.x 87 ::: European;world;supreme;national;world;mini;Euro;Canadian;global;winter
looked.x 88 ::: stared;glanced;frowned;glared;look;gazed;look;nodded;ed;sat
small.x 89 ::: tiny;young;filthy;dirty;little;wee;low;brown;thin;skinny
zone.x 90 ::: zone;space;market;zone;area;Dubai;corridor;economy;shop;period
arm.x 91 ::: I;.;�
bed.x 92 ::: sleep;bed;work;rest;hell;midnight;dinner;night;Hades;,
street.x 93 ::: road;direction;car;bike;block;platform;street;side;person;way
separate.x 94 ::: separating;apart;separated;ittle;ift;divorce;ite;arate;separation;ate
stone.x 95 ::: wooden;choir;glass;echo;gas;brick;cellar;dark;tin;rock
troubles.x 96 ::: …;trouble;!;:;girl;,;?;er;.;I
idiots.x 97 ::: fool;idiot;stupid;fool;dumb;lost;freak;asshole;crazy;shit
totally.x 98 ::: yeah;definitely;ok;sure;like;yes;yea;oh;okay;really
saw.x 99 ::: seen;see;spotted;heard;know;knew;miss;noticed;recognised;caught
told.x 100 ::: said;asked;tell;informed;showed;heard;,;reminded;bit;saw
glanced.x 101 ::: looked;glance;gazed;glared;stared;glance;look;frowned;stare;grinned
getting.x 102 ::: securing;obtaining;getting;get;obtain;got;denied;secure;winning;finding
sell.x 103 ::: serve;eat;take;give;trade;sale;admit;use;make;see
privileges.x 104 ::: marijuana;reform;benefit;insurance;cannabis;pill;parity;drug;right;discount
debate.x 105 ::: discussion;session;dialogue;presentation;meeting;forum;dispute;vote;referendum;debate
other.x 106 ::: others;former;another;next;latter;party;one;many;first;everyone
atomic.x 107 ::: Hiroshima;Soviet;atom;nuclear;USS;Montreal;Munich;Boston;German;UFO
prescription.x 108 ::: pharmacy;medical;doctor;Rx;prescribing;drug;preventive;patent;executive;specialty
mean.x 109 ::: mean;dunno;think;meant;mean;Am;g;guess;see;know
enough.x 110 ::: me;enough;';plenty;em;nothing;anything;u;?;something
got.x 111 ::: seen;Got;Shot;got;ed;get;mentioned;sold;met;Had
detailing.x 112 ::: regarding;discussing;describing;concerning;outlining;ordering;violating;reviewing;mentioning;approving
need.x 113 ::: want;Need;needed;need;need;require;got;use;like;mind
Last.x 114 ::: last;Good;Perhaps;Sat;Late;yesterday;A;Thursday;Saturday;Sunday
replied.x 115 ::: reply;said;snapped;answered;reply;gasped;remarked;nodded;sighed;continued
worry.x 116 ::: bother;think;fret;fuss;dream;complain;talk;tell;worried;Forget
front.x 117 ::: front;ahead;view;left;l;range;ront;short;advance;size
said.x 118 ::: Asked;asked;answered;replied;say;began;snapped;bowed;Signed;whispered
taught.x 119 ::: studied;teach;teaching;study;trained;study;practiced;preached;teacher;played
little.x 120 ::: .;good;bit;$;tiny;simple;small;quick;deep;tad
bar.x 121 ::: bar;band;pub;bartender;mic;conductor;stage;microphone;sign;door
person.x 122 ::: guy;type;way;personality;people;thing;soul;boy;character;someone
raised.x 123 ::: broke;kicked;shot;ook;set;grabbed;at;took;and;.
even.x 124 ::: still;already;almost;coming;right;even;back;Even;,;:
island.x 125 ::: By;at;.;,;He
expression.x 126 ::: face;jaw;emotion;smile;expression;look;pride;ire;relief;arm
happen.x 127 ::: work;go;move;famous;done;big;happening;easy;happens;real
door.x 128 ::: door;door;gate;doorway;window;motion;thing;lock;entrance;bolt
dance.x 129 ::: dancing;main;house;sex;party;wrestling;concert;wedding;disco;sleep
fought.x 130 ::: struggled;managed;battled;tried;learned;screamed;raced;got;worked;fight
staff.x 131 ::: freelance;senior;staff;Staff;editorial;feature;staffer;guest;political;team
playwright.x 132 ::: play;play;book;dram;game;pot;movie;writer;cook;film
guy.x 133 ::: mate;member;buddy;player;gal;leader;boy;girl;cam;captain
help.x 134 ::: save;rescue;get;assist;see;find;aid;helped;heal;salvage
soaring.x 135 ::: soared;leaping;leapt;perched;pitched;jumped;bent;singing;skipping;jumping
heat.x 136 ::: warmth;heating;stamen;courage;steam;energy;power;resistance;tar;strength
based.x 137 ::: made;depending;sauce;ingredient;served;relying;cooked;dish;making;brought
complaint.x 138 ::: indictment;plea;lawsuit;agency;filing;document;prosecutor;prosecutor;report;complaint
straightforward.x 139 ::: frank;dogged;blunt;brutal;journalistic;fierce;fearless;cheerful;quiet;gracious
Name.x 140 ::: name;Kill;Curse;Save;Promise;Mercy;Call;Kiss;Follow;About
said.x 141 ::: noted;said;stated;conceded;indicated;say;acknowledged;announced;affirmed;described
deemed.x 142 ::: made;declared;considered;consider;make;called;designated;named;labeled;found
probably.x 143 ::: already;still;likely;practically;definitely;probably;totally;almost;obviously;usually
vein.x 144 ::: way;mold;breath;direction;process;spirit;span;zone;thing;fashion
saw.x 145 ::: seen;see;see;felt;seeing;knew;caught;smelled;thought;read
hearings.x 146 ::: hearing;trial;interview;case;case;even;paper;heard;inquiry;session
fell.x 147 ::: dropped;fallen;toppled;slipped;passed;came;knocked;poured;slid;falling
adequately.x 148 ::: properly;adequate;sufficiently;duly;appropriately;equally;proper;fully;enough;effectively
lists.x 149 ::: list;advocate;warning;producer;group;chain;release;network;maker;source
take.x 150 ::: took;taking;taken;take;take;sometimes;play;even;grow;seize
shouted.x 151 ::: say;cried;said;V;,;John;and;Captain;sang;.
master.x 152 ::: best;next;final;cunning;general;ultimate;actual;grand;tactical;current
plan.x 153 ::: B;mode;strategy;scheme;W;course;plan;point;model;line
memorable.x 154 ::: remarkable;striking;significant;distinctive;unforgettable;handsome;pretty;interesting;uncanny;notable
okay.x 155 ::: alright;Now;OK;ok;right;eh;k;Yeah;fine;Okay
dealing.x 156 ::: dealt;working;done;acquainted;talking;alright;chatting;friendly;stuck;familiar
damage.x 157 ::: management;loss;harm;destruction;risk;damage;health;issue;restoration;violation
committees.x 158 ::: investigator;official;committee;panel;member;lawmaker;agent;user;oversight;record
got.x 159 ::: threw;get;took;git;kicked;pulled;gathered;dragged;sacked;kept
